====================================
 Computer Network Optimization Run
====================================
Run Timestamp  : 2026-05-17_15-44-32
Number of Nodes: 10
Population Size: 50
Generations    : 200
Timestamp      : 17-May-2026 15:44:32
====================================

Single objective optimization:
8 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              100           419.5            1889        0
    2              147           419.5            1623        1
    3              194           419.5            1444        2
    4              241           419.5            1193        3
    5              288           419.5            1160        4
    6              335           419.5            1024        5
    7              382           419.5           779.4        6
    8              429           419.5           710.2        7
    9              476           419.5           608.1        8
   10              523           419.5           524.7        9
   11              570           419.5           485.2       10
   12              617           348.7           448.9        0
   13              664           348.7           435.3        1
   14              711           348.7           402.5        2
   15              758           348.7           385.5        3
   16              805           348.7           375.3        4
   17              852           348.7           363.9        5
   18              899           348.7           358.3        6
   19              946           348.7           351.5        7
   20              993           348.7           350.1        8
   21             1040           348.7           348.7        9
   22             1087           348.7           348.7       10
   23             1134           348.7           348.7       11
   24             1181           348.7           348.7       12
   25             1228           348.7           348.7       13
   26             1275           348.7           348.7       14
   27             1322           348.7           348.7       15
   28             1369           348.7           348.7       16
   29             1416           348.7           348.7       17
   30             1463           348.7           348.7       18

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             1510           348.7           348.7       19
   32             1557           348.7           348.7       20
   33             1604           348.7           348.7       21
   34             1651           348.7           348.7       22
   35             1698           348.7           348.7       23
   36             1745           348.7           348.7       24
   37             1792           348.7           348.7       25
   38             1839           348.7           348.7       26
   39             1886           348.7           348.7       27
   40             1933           348.7           348.7       28
   41             1980           348.7           348.7       29
   42             2027           348.7           348.7       30
   43             2074           348.7           348.7       31
   44             2121           348.7           348.7       32
   45             2168           348.7           348.7       33
   46             2215           348.7           348.7       34
   47             2262           348.7           348.7       35
   48             2309           348.7           348.7       36
   49             2356           348.7           348.7       37
   50             2403           348.7           348.7       38
   51             2450           348.7           348.7       39
   52             2497           348.7           348.7       40
   53             2544           348.7           348.7       41
   54             2591           348.7           348.7       42
   55             2638           348.7           348.7       43
   56             2685           348.7           348.7       44
   57             2732           348.7           348.7       45
   58             2779           348.7           348.7       46
   59             2826           348.7           348.7       47
   60             2873           348.7           348.7       48

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             2920           348.7           348.7       49
   62             2967           348.7           348.7       50
ga stopped because the average change in the fitness value is less than options.FunctionTolerance.
[Warning: UI components will not be included in the output.] 

Optimal Route:
     1     4     6

Total Cost: 348.69
